"itemid","shopid","item_name","item_description","price","sold_count"
"78723069","5844001","Nopierce Septum Ring","High quality septum ring  Available in silver,  rose gold  and gold  Dimension:1.5x1.5 cm#nosering #fashion #accessories #nopiercing #clipon #rhinestone #silver #gold #rosegold #septumring ","6","0"
"865393089","25200003","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain   Item DescriptionCondition: 100% Brand NewSize (Approx) :As Picture ShowColor:pictureQuantity:1pair  #1 #pair #elegant #women #crystal #rhinestone #ear #stud #fashion #ladies #earrings #chain","1.6699999571","0"
"865393092","25200003","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain   Item DescriptionCondition: 100% Brand NewSize (Approx) :As Picture ShowColor:pictureQuantity:1pair  #1 #pair #elegant #women #crystal #rhinestone #ear #stud #fashion #ladies #earrings #chain","1.6699999571","0"
"865393101","25200003","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain   Item DescriptionCondition: 100% Brand NewSize (Approx) :As Picture ShowColor:pictureQuantity:1pair  #1 #pair #elegant #women #crystal #rhinestone #ear #stud #fashion #ladies #earrings #chain","1.6699999571","0"
"865393072","25200003","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain   Item DescriptionCondition: 100% Brand NewSize (Approx) :As Picture ShowColor:pictureQuantity:1pair  #1 #pair #elegant #women #crystal #rhinestone #ear #stud #fashion #ladies #earrings #chain","1.7300000191","0"
"865393057","25200003","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain   Item DescriptionCondition: 100% Brand NewSize (Approx) :As Picture ShowColor:pictureQuantity:1pair  #1 #pair #elegant #women #crystal #rhinestone #ear #stud #fashion #ladies #earrings #chain","1.7300000191","0"
"865393063","25200003","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain   Item DescriptionCondition: 100% Brand NewSize (Approx) :As Picture ShowColor:pictureQuantity:1pair  #1 #pair #elegant #women #crystal #rhinestone #ear #stud #fashion #ladies #earrings #chain","1.7300000191","0"
"865393052","25200003","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain   Item DescriptionCondition: 100% Brand NewSize (Approx) :As Picture ShowColor:pictureQuantity:1pair  #1 #pair #elegant #women #crystal #rhinestone #ear #stud #fashion #ladies #earrings #chain","1.7300000191","0"
"865393068","25200003","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain   Item DescriptionCondition: 100% Brand NewSize (Approx) :As Picture ShowColor:pictureQuantity:1pair  #1 #pair #elegant #women #crystal #rhinestone #ear #stud #fashion #ladies #earrings #chain","2.0199999809","0"
"865393048","25200003","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain","FS 1Pair Elegant Women Crystal Rhinestone Ear Stud Fashion Ladies Earrings Chain   Item DescriptionCondition: 100% Brand NewSize (Approx) :As Picture ShowColor:pictureQuantity:1pair  #1 #pair #elegant #women #crystal #rhinestone #ear #stud #fashion #ladies #earrings #chain","2.0199999809","0"
"838637064","25200003","FS Loose fashion collar fruit print Siamese skirt women","FS Loose fashion collar fruit print Siamese skirt women Description:Material: PolyesterPattern: printingStyle: Suspension modelsSkirt type: Princess skirtWaist type: loose waistSkirt Length: In the skirtClothing placket: hedgingTips:1, due to different personal proportions, the above size is for reference only, due to manual measurement, or save 13 errors, please forgive me;2, due to light and display reasons, the picture color may be slightly different from the kind;Terms of sale1.The color difference is hard to avoid in the internet sales. Generally we will adjust the colors as the same as the items,but there might be a little color difference according to different light,different monitor. So if dear you can not accept this very little difference, be cautious before you making the orders.2.No Instructions or tools are provided for this listing.This is NOT an easy job for someone who has no technical skills with Disassembling or Assembling Cellphones/mobile phones So only purchase this item if you know how to install it.We will not be held responsible for any damages to your cellphone/mobile phone that you may cause during the changing of replacement parts.3.International Buyers _ Please Note:.Import duties, taxes and charges are not included in the item price or shipping charges. These charges are the buyers responsibility. Please check with your countrys customs office to determine what these additional costs will be prior to bidding/buying.Delivery details1.Usually, We ship via USPS regular shipping to USA, other countries will by HKpost/China post flat shipping.2.Item will be shipped out within 1 2business days upon your payment completed (Excluding Weekends and Public Holidays).3.Delivery time lasts approx:A) United States: 822business daysB) Australia, United Kingdom: 15  25 business days.C) Spain, France, Germany, Canada : 1530 business days.D) Other countries: not more than 35 business days.4.Please contact us if your item had not been delivered after 4 weeks. But we strongly recommend the buyer using Expedited Service EMS shipping, which is faster and safer than Airmail and in reasonable price. Also, If you refer to DHL, Fedex, UPS and other express shipping, please let us know.Payment  #Printed #round #milk #silk #womens #skirts #pajamas #nightdress","9.5799999237","0"
